类别,代码,收盘价,涨跌幅 %,RSI,成交量/均量比,策略评分,评级,是否新出现,基本面评分,估值评分,盈利能力评分,成长性评分,财务健康评分,股息评分,PE比率,PB比率,PS比率,净利润率%,ROE%,ROA%,营收增长%,盈利增长%,流动比率,债务股权比,股息收益率%,派息比率%
股票,CB,295.49,-0.25,68.1,0.71,133,✅ 买入,否,33.0,11.0,6.0,8.0,6.0,2.0,12.348098,1.6215844,1.9811975,16.442,13.639999999999999,2.9679998999999997,9.1,22.6,0.38,30.958,131.0,15.709999999999999
股票,JOE,57.17,-2.26,59.4,1.05,133,✅ 买入,否,33.0,3.0,8.0,12.0,8.0,2.0,31.76111,4.344555,6.9113026,21.406999,13.963999999999999,5.3790003,62.7,131.9,2.311,75.381,112.00000000000001,31.11
股票,AEO,17.56,0.11,58.3,1.05,133,✅ 买入,否,28.0,10.0,4.0,6.0,6.0,2.0,17.215687,1.9250164,0.5645698,3.742,12.1709995,5.0329998,-0.6,15.4,1.623,129.318,285.0,49.02
股票,BSX,102.69,-2.18,57.0,1.18,133,✅ 买入,否,28.0,1.0,6.0,12.0,7.0,2.0,54.91444,6.50678,8.043142,14.430000000000001,12.488000000000001,5.756,20.3,60.0,1.508,50.973,0.0,0.0
股票,AKAM,87.17,-1.69,67.0,1.26,133,✅ 买入,否,28.0,6.0,5.0,8.0,7.0,2.0,25.56305,2.648417,3.0863554,12.262998999999999,10.642,3.785,5.0,155.29999999999998,2.281,110.548,0.0,0.0
股票,EOG,110.4,1.06,59.5,0.88,133,✅ 买入,否,33.0,10.0,10.0,2.0,9.0,2.0,10.963258,1.9822958,2.6442513,24.410999,18.476999,9.086,-2.4,-8.5,1.624,26.835,370.0,38.080000000000005
股票,CTSH,72.62,-1.28,57.4,0.6,133,✅ 买入,否,33.0,10.0,8.0,3.0,10.0,2.0,16.810184,2.354505,1.7022332,10.203,14.501000999999999,10.1560004,7.3999999999999995,-52.1,2.358,7.854,171.0,28.470000000000002
股票,KMI,27.42,1.97,59.4,1.1,133,✅ 买入,否,23.0,8.0,5.0,6.0,4.0,0.0,22.475409,1.9845117,3.7160654,16.612,8.884,3.926,12.1,0.3,0.631,102.138,426.99999999999994,95.08
股票,E,38.22,0.37,70.2,0.75,133,✅ 买入,否,23.0,9.0,1.0,7.0,6.0,0.0,20.010471,2.3371859,0.6580053,3.175,5.466,1.957,-2.1999999999999997,50.0,1.207,65.468,597.0,121.93
股票,ACGL,92.52,-0.26,65.6,0.67,133,✅ 买入,否,38.0,12.0,8.0,9.0,7.0,2.0,8.67104,1.4784985,1.7211882,20.959,17.811,3.8989999999999996,8.200000000000001,39.1,0.564,11.501,0.0,0.0
股票,UHS,225.04,-1.11,60.5,0.79,132,✅ 买入,否,37.0,11.0,8.0,10.0,6.0,2.0,10.705994,1.961184,0.83678895,8.093,20.028000000000002,8.218,13.4,54.2,1.031,70.037,36.0,3.81
股票,AU,79.39,-1.62,60.8,0.73,132,✅ 买入,否,42.0,6.0,12.0,12.0,10.0,2.0,17.410088,5.2123957,4.7515354,26.251,38.714999999999996,18.155001000000002,62.1,147.2,2.581,24.231,318.0,35.419998
股票,PAGP,17.86,2.0,56.5,0.66,132,✅ 买入,否,22.0,8.0,2.0,6.0,6.0,0.0,23.500002,2.62763,0.08700734,0.39899999999999997,8.799,3.1770001999999997,-7.000000000000001,150.2,1.041,68.125,852.0,191.78
股票,CHRW,152.8,0.75,67.5,0.75,132,✅ 买入,否,27.0,5.0,7.0,6.0,7.0,2.0,30.993916,9.743655,1.0937047,3.636,34.318,9.5790006,-10.9,67.5,1.585,80.904,165.0,50.200003
股票,MESA,1.6,3.23,61.6,1.57,132,✅ 买入,否,7.0,4.0,0.0,0.0,1.0,2.0,,,0.16503525,,,0.63300002,-16.3,,0.764,,0.0,0.0
股票,FOXA,64.84,-0.92,58.7,0.77,131,✅ 买入,否,31.0,11.0,8.0,2.0,8.0,2.0,14.570786,2.3621988,1.6706743,12.353,17.272000000000002,8.7299995,4.9,-25.8,3.238,60.136,86.0,12.36
股票,FOX,58.46,-0.83,59.2,0.72,131,✅ 买入,否,31.0,11.0,8.0,2.0,8.0,2.0,13.137079,2.129768,1.670103,12.353,17.272000000000002,8.7299995,4.9,-25.8,3.238,60.136,96.0,12.36
股票,VRE,15.13,1.41,55.5,0.69,131,✅ 买入,否,21.0,8.0,4.0,3.0,4.0,2.0,24.015873,1.2209489,5.6657996,21.621999,4.774,1.123,8.5,,0.944,112.357,212.0,50.79
股票,PSX,142.32,2.02,64.1,1.09,131,✅ 买入,否,16.0,7.0,2.0,1.0,6.0,0.0,38.361187,2.1303797,0.434577,1.1410000999999999,5.6199998,2.456,-2.9000000000000004,-61.0,1.227,77.483,337.0,126.67999999999999
股票,WAFD,30.57,-0.36,59.5,1.2,131,✅ 买入,否,21.0,11.0,5.0,3.0,0.0,2.0,11.623573,0.8724564,3.3410497,31.497999999999998,7.486,0.826,-1.7999999999999998,1.7000000000000002,,,353.0,40.68
股票,FNF,58.26,-0.56,57.8,0.74,131,✅ 买入,否,31.0,11.0,3.0,10.0,5.0,2.0,13.644028,1.8897177,1.1298058,8.314,13.961000000000002,1.159,11.799999999999999,37.1,0.988,51.178,357.0,46.839999999999996
股票,ET,17.01,2.29,55.1,1.05,131,✅ 买入,否,21.0,11.0,4.0,1.0,5.0,0.0,13.608,1.8663594,0.73224807,5.74,12.623999999999999,4.552,-3.9,-12.7,1.405,135.699,782.0,104.4
股票,CLLS,3.9,9.24,58.9,2.85,131,✅ 买入,否,16.0,4.0,0.0,6.0,4.0,2.0,,2.8077753,4.5627112,,,,105.89999999999999,,1.489,88.428,0.0,0.0
股票,USAC,23.83,1.36,55.8,0.43,131,✅ 买入,否,21.0,4.0,5.0,8.0,4.0,0.0,29.419752,,2.9486375,10.993,,7.435,4.3,103.69999999999999,1.361,,881.0,259.26
股票,NWE,65.11,-0.15,64.9,1.25,131,✅ 买入,否,21.0,10.0,4.0,4.0,2.0,1.0,18.44476,1.3881545,2.5509312,13.821,7.617,2.7640000000000002,12.1,-18.4,0.648,114.652,405.0,74.5
股票,BKH,69.94,-0.51,67.3,1.44,131,✅ 买入,否,21.0,10.0,4.0,4.0,2.0,1.0,17.661617,1.4009014,2.3357015,12.533,7.915,3.276,7.1,-1.7999999999999998,0.909,113.708,387.0,67.63
股票,SWX,81.3,-0.16,56.3,1.05,131,✅ 买入,否,26.0,9.0,3.0,6.0,7.0,1.0,25.646688,1.4937165,1.2640718,9.977,6.2280003,3.154,-11.799999999999999,93077.59999999999,1.545,89.27,305.0,78.230006
股票,AFL,114.34,-0.58,65.7,0.96,131,✅ 买入,否,31.0,9.0,8.0,6.0,6.0,2.0,15.005249,2.0952904,3.4053638,23.552,15.58,2.645,60.699999999999996,,1.089,50.003,213.0,29.43
股票,AEM,168.11,-0.45,54.2,0.87,130,✅ 买入,否,40.0,5.0,11.0,12.0,10.0,2.0,24.577484,3.5903294,8.217306,32.625,15.667,10.6300004,41.9,85.8,2.12,1.427,95.0,23.39
股票,MLI,106.92,-0.21,59.0,0.65,130,✅ 买入,否,40.0,8.0,11.0,9.0,10.0,2.0,15.982062,3.8663485,2.8734248,18.096,26.139998,16.195999,8.0,27.0,4.825,0.935,94.0,14.2
